17:01:26.430	SERVER	admin	OK	Server was started (port: 1984).
17:07:51.994	127.0.0.1:58285	admin	REQUEST	XQUERY <root>{ for $a in collection("f1")//Constructor return <elem>{$a}</elem> } </root>	64.28 ms
17:07:52.717	127.0.0.1:58285	admin	OK	Query executed in 702.94 ms.	721.99 ms
17:08:28.256	127.0.0.1:58291	admin	REQUEST	XQUERY <root>{ for $a in collection("f1")//Constructor return <elem>{$a}</elem> } </root>	0.6 ms
17:08:28.281	127.0.0.1:58291	admin	OK	Query executed in 23.86 ms.	24.64 ms
17:09:30.586	127.0.0.1:58311	admin	REQUEST	XQUERY <root>{ for $a in collection("f1")//Constructor return <elem>{$a}</elem> } </root>	0.52 ms
17:09:30.603	127.0.0.1:58311	admin	OK	Query executed in 16.18 ms.	17.0 ms
17:10:14.871	127.0.0.1:58319	admin	REQUEST	XQUERY <root>{ for $a in collection("f1")//Constructor return <elem>{$a}</elem> } </root>	0.38 ms
17:10:14.885	127.0.0.1:58319	admin	OK	Query executed in 13.46 ms.	13.97 ms
17:15:22.429	127.0.0.1:58329	admin	REQUEST	XQUERY <root>{ for $a in collection("f1")//Constructor return <elem>{$a}</elem> } </root>	0.93 ms
17:15:22.439	127.0.0.1:58329	admin	OK	Query executed in 9.22 ms.	9.9 ms
17:16:31.696	127.0.0.1:58380	admin	REQUEST	XQUERY <root>{ for $a in collection("f1")//Constructor return <elem>{$a}</elem> } </root>	0.4 ms
17:16:31.716	127.0.0.1:58380	admin	OK	Query executed in 20.03 ms.	20.55 ms
17:16:47.950	127.0.0.1:58389	admin	REQUEST	XQUERY <root>{ for $a in collection("f1")//Constructor return <elem>{$a}</elem> } </root>	0.39 ms
17:16:47.962	127.0.0.1:58389	admin	OK	Query executed in 10.88 ms.	11.66 ms
17:18:13.185	127.0.0.1:58445	admin	REQUEST	XQUERY <root>{ for $a in collection("f1")//Constructor return <elem>{$a}</elem> } </root>	0.38 ms
17:18:13.193	127.0.0.1:58445	admin	OK	Query executed in 7.15 ms.	7.61 ms
17:18:52.500	127.0.0.1:58458	admin	REQUEST	XQUERY <root>{ for $a in collection("f1")//Constructor return <elem>{$a}</elem> } </root>	0.35 ms
17:18:52.506	127.0.0.1:58458	admin	OK	Query executed in 6.34 ms.	6.75 ms
17:19:05.625	127.0.0.1:58464	admin	REQUEST	XQUERY <root>{ for $a in collection("f1")//Constructor return <elem>{$a}</elem> } </root>	0.36 ms
17:19:05.632	127.0.0.1:58464	admin	OK	Query executed in 6.17 ms.	6.64 ms
17:19:29.551	127.0.0.1:58471	admin	REQUEST	XQUERY <root>{ for $a in collection("f1")//Constructor return <elem>{$a}</elem> } </root>	0.36 ms
17:19:29.558	127.0.0.1:58471	admin	OK	Query executed in 6.36 ms.	6.8 ms
17:20:00.866	127.0.0.1:58479	admin	REQUEST	XQUERY <root>{ for $a in distinct-values(collection("f1")//Constructor) return <elem>{$a}</elem> } </root>	1.12 ms
17:20:00.875	127.0.0.1:58479	admin	OK	Query executed in 8.31 ms.	8.87 ms
17:20:58.985	127.0.0.1:58487	admin	REQUEST	XQUERY <root>{ for $a in distinct-values(collection("f1")//Constructor) return <elem>{$a}</elem> } </root>	0.39 ms
17:20:58.992	127.0.0.1:58487	admin	OK	Query executed in 6.23 ms.	6.75 ms
17:21:43.446	127.0.0.1:58495	admin	REQUEST	XQUERY <root>{ for $a in distinct-values(collection("f1")//Constructor) return <elem>{$a}</elem> } </root>	0.33 ms
17:21:43.451	127.0.0.1:58495	admin	OK	Query executed in 4.27 ms.	4.71 ms
17:22:46.643	127.0.0.1:58495	admin	REQUEST	XQUERY <root>{ for $a in distinct-values(collection("f1")//Constructor) return <elem>{$a}</elem> } </root>	0.62 ms
17:22:46.652	127.0.0.1:58495	admin	OK	Query executed in 6.86 ms.	9.11 ms
17:23:07.539	127.0.0.1:58495	admin	REQUEST	XQUERY <root>{ for $a in distinct-values(collection("f1")//Constructor) return <elem>{$a}</elem> } </root>	1.43 ms
17:23:07.547	127.0.0.1:58495	admin	OK	Query executed in 7.09 ms.	7.76 ms
17:23:42.363	127.0.0.1:58495	admin	REQUEST	XQUERY <root>{ for $a in distinct-values(collection("f1")//Constructor) return <elem>{$a}</elem> } </root>	1.26 ms
