18:08:47.557	SERVER	admin	OK	Server was started (port: 1984).
18:08:53.820	SERVER	admin	OK	Server was stopped (port: 1984).
18:09:18.290	SERVER	admin	OK	Server was started (port: 1984).
18:10:33.096	127.0.0.1:59406	admin	REQUEST	OPEN formula1	61.7 ms
18:10:33.107	127.0.0.1:59406	admin	ERROR	Database 'formula1' was not found.	10.21 ms
18:10:33.111	127.0.0.1:59406	admin	REQUEST	CREATE DB formula1	3.81 ms
18:10:33.321	127.0.0.1:59406	admin	OK	Database 'formula1' created in 206.96 ms.	210.43 ms
18:10:33.323	127.0.0.1:59406	admin	REQUEST	OPEN formula1	0.67 ms
18:10:33.323	127.0.0.1:59406	admin	OK	Database 'formula1' was opened in 0.05 ms.	0.48 ms
18:10:33.327	127.0.0.1:59406	admin	REQUEST	ADD TO Corridas2018 [...]	0.82 ms
18:10:33.487	127.0.0.1:59406	admin	OK	Resource(s) added in 154.31 ms.	159.49 ms
18:10:33.487	127.0.0.1:59406	admin	REQUEST	EXIT	0.31 ms
18:10:33.488	127.0.0.1:59406	admin	OK		0.84 ms
18:12:48.327	127.0.0.1:59442	admin	REQUEST	OPEN formula1	0.67 ms
18:12:48.331	127.0.0.1:59442	admin	OK	Database 'formula1' was opened in 3.53 ms.	4.08 ms
18:12:48.333	127.0.0.1:59442	admin	REQUEST	ADD TO Cons2018 [...]	0.29 ms
18:12:48.348	127.0.0.1:59442	admin	OK	Resource(s) added in 10.53 ms.	14.2 ms
18:12:48.349	127.0.0.1:59442	admin	REQUEST	EXIT	0.55 ms
18:12:48.350	127.0.0.1:59442	admin	OK		0.99 ms
18:23:55.145	127.0.0.1:59632	admin	REQUEST	OPEN for1	0.45 ms
18:23:55.145	127.0.0.1:59632	admin	ERROR	Database 'for1' was not found.	0.44 ms
18:23:55.146	127.0.0.1:59632	admin	REQUEST	CREATE DB for1	0.32 ms
18:23:55.159	127.0.0.1:59632	admin	OK	Database 'for1' created in 11.64 ms.	13.16 ms
18:23:55.159	127.0.0.1:59632	admin	REQUEST	OPEN formula1	0.28 ms
18:23:55.162	127.0.0.1:59632	admin	OK	Database 'formula1' was opened in 2.08 ms.	2.3 ms
18:23:55.163	127.0.0.1:59632	admin	REQUEST	ADD TO Cons2018 [...]	0.13 ms
18:23:55.171	127.0.0.1:59632	admin	OK	Resource(s) added in 5.71 ms.	7.84 ms
18:23:55.171	127.0.0.1:59632	admin	REQUEST	EXIT	0.26 ms
18:23:55.172	127.0.0.1:59632	admin	OK		0.55 ms
